player name,mvp,ops,avg,rbi,hr
Derek Jeter,No,0.871,0.334,66,18
Nick Swisher,No,0.869,0.249,82,29
Russell Branyan,No,0.867,0.251,76,31
Michael Cuddyer,No,0.862,0.276,94,32
Victor Martinez,No,0.860,0.303,108,23
Milton Bradley,No,0.999,0.321,77,22
Alex Rodriguez,No,0.965,0.302,103,35
Carlos Quentin,No,0.964,0.288,100,36
Kevin Youkilis,No,0.958,0.312,115,29
Aubrey Huff,No,0.912,0.304,108,32
Josh Hamilton,No,0.901,0.304,130,32
Nick Markakis,No,0.897,0.306,87,20
Ian Kinsler,No,0.892,0.319,71,18
Miguel Cabrera,No,0.887,0.292,127,37
Vladimir Guerrero,No,0.886,0.303,91,27
Jermaine Dye,No,0.885,0.292,96,34
Grady Sizemore,No,0.876,0.268,90,33
Jason Giambi,No,0.876,0.247,96,32
Evan Longoria,No,0.874,0.272,85,27
Justin Morneau,No,0.873,0.300,129,23
Carlos Pena,No,0.871,0.247,102,31
Magglio Ordonez,No,0.869,0.317,103,21
Dustin Pedroia,Yes,0.869,0.326,83,17
Jim Thome,No,0.865,0.245,90,34
Joe Mauer,No,0.864,0.328,85,9
Curtis Granderson,No,0.858,0.280,66,22
Jack Cust,No,0.851,0.231,77,33
Bobby Abreu,No,0.843,0.296,100,20
Raul Ibanez,No,0.837,0.293,110,23
Johnny Damon,No,0.836,0.303,71,17
Alex Rodriguez,Yes,1.067,0.314,156,54
David Ortiz,No,1.066,0.332,117,35
Carlos Pena,No,1.037,0.282,121,46
Magglio Ordonez,No,1.029,0.363,139,28
Jim Thome,No,0.973,0.275,96,35
Jorge Posada,No,0.970,0.338,90,20
Vladimir Guerrero,No,0.950,0.324,125,27
Curtis Granderson,No,0.913,0.302,74,23
Jack Cust,No,0.912,0.256,82,26
B.J. Upton,No,0.894,0.300,82,24
Manny Ramirez,No,0.881,0.296,88,20
Mike Lowell,No,0.879,0.324,120,21
Victor Martinez,No,0.879,0.301,114,25
Carlos Guillen,No,0.859,0.296,102,21
Frank Thomas,No,0.857,0.277,95,26
Hideki Matsui,No,0.855,0.285,103,25
Grady Sizemore,No,0.852,0.277,78,24
Alex Rios,No,0.852,0.297,85,24
Nick Markakis,No,0.848,0.300,112,23
Placido Polanco,No,0.846,0.341,67,9
Kevin Youkilis,No,0.843,0.288,83,16
Ryan Garko,No,0.842,0.289,61,21
Robinson Cano,No,0.841,0.306,97,19
Paul Konerko,No,0.841,0.259,90,31
Derek Jeter,No,0.840,0.322,73,12
Travis Hafner,No,1.097,0.308,117,42
Manny Ramirez,No,1.058,0.321,102,35
David Ortiz,No,1.049,0.287,137,54
Jim Thome,No,1.014,0.288,109,42
Jermaine Dye,No,1.006,0.315,120,44
Jason Giambi,No,0.971,0.253,113,37
Joe Mauer,No,0.936,0.347,84,13
Justin Morneau,Yes,0.934,0.321,130,34
Vladimir Guerrero,No,0.934,0.329,116,33
Paul Konerko,No,0.932,0.313,113,35
Frank Thomas,No,0.926,0.270,114,39
Carlos Guillen,No,0.920,0.320,85,19
Alex Rodriguez,No,0.914,0.290,121,35
Grady Sizemore,No,0.908,0.290,76,28
Derek Jeter,No,0.900,0.343,97,14
Vernon Wells,No,0.899,0.303,106,32
Robinson Cano,No,0.890,0.342,78,15
Mark Teixeira,No,0.886,0.282,110,33
Lyle Overbay,No,0.880,0.312,92,22
Miguel Tejada,No,0.878,0.330,100,24
Raul Ibanez,No,0.869,0.289,123,33
Reed Johnson,No,0.869,0.319,49,12
Troy Glaus,No,0.868,0.252,104,38
Jorge Posada,No,0.867,0.277,93,23
Michael Cuddyer,No,0.867,0.284,109,24
Alex Rodriguez,Yes,1.031,0.321,130,48
Travis Hafner,No,1.003,0.305,108,33
David Ortiz,No,1.001,0.300,148,47
Manny Ramirez,No,0.982,0.292,144,45
Jason Giambi,No,0.975,0.271,87,32
Vladimir Guerrero,No,0.959,0.317,108,32
Mark Teixeira,No,0.954,0.301,144,43
Richie Sexson,No,0.910,0.263,121,39
Paul Konerko,No,0.909,0.283,100,40
Brian Roberts,No,0.903,0.314,73,18
Michael Young,No,0.899,0.331,91,24
Gary Sheffield,No,0.891,0.291,123,34
Jhonny Peralta,No,0.885,0.292,78,24
David Dellucci,No,0.879,0.251,65,29
Miguel Tejada,No,0.865,0.304,98,26
Mike Sweeney,No,0.864,0.300,83,21
Hideki Matsui,No,0.863,0.305,116,23
Jason Varitek,No,0.856,0.281,70,22
Victor Martinez,No,0.853,0.305,80,20
Jermaine Dye,No,0.846,0.274,86,31
Derek Jeter,No,0.839,0.309,70,19
Jay Gibbons,No,0.833,0.277,79,26
Grady Sizemore,No,0.832,0.289,81,22
Melvin Mora,No,0.821,0.283,88,27
Alfonso Soriano,No,0.821,0.268,104,36
Manny Ramirez,No,1.009,0.308,130,43
Travis Hafner,No,0.993,0.311,109,28
Vladimir Guerrero,Yes,0.989,0.337,126,39
David Ortiz,No,0.983,0.301,139,41
Melvin Mora,No,0.981,0.340,104,27
Mark Teixeira,No,0.929,0.281,112,38
Gary Sheffield,No,0.927,0.290,121,36
Carlos Guillen,No,0.922,0.318,97,20
Erubiel Durazo,No,0.919,0.321,88,22
Hideki Matsui,No,0.912,0.298,108,31
Carlos Delgado,No,0.907,0.269,99,32
Aaron Rowand,No,0.905,0.310,69,24
Eric Chavez,No,0.898,0.276,77,29
Miguel Tejada,No,0.894,0.311,150,34
Paul Konerko,No,0.894,0.277,117,41
Ivan Rodriguez,No,0.893,0.334,86,19
Carlos Lee,No,0.891,0.305,99,31
Alex Rodriguez,No,0.888,0.286,106,36
Jorge Posada,No,0.881,0.272,81,21
Javy Lopez,No,0.872,0.316,86,23
Jason Varitek,No,0.872,0.296,73,18
Ichiro Suzuki,No,0.869,0.372,60,8
Kevin Millar,No,0.857,0.297,74,18
Johnny Damon,No,0.857,0.304,94,20
Hank Blalock,No,0.855,0.276,110,32
Carlos Delgado,No,1.019,0.302,145,42
Manny Ramirez,No,1.014,0.325,104,37
Alex Rodriguez,Yes,0.996,0.298,118,47
Trot Nixon,No,0.975,0.306,87,28
David Ortiz,No,0.961,0.288,101,31
Frank Thomas,No,0.952,0.267,105,42
Jason Giambi,No,0.939,0.250,107,41
Bill Mueller,No,0.938,0.326,85,19
Magglio Ordonez,No,0.926,0.317,99,29
Jorge Posada,No,0.922,0.281,101,30
Aubrey Huff,No,0.922,0.311,107,34
Carlos Beltran,No,0.911,0.307,100,26
Vernon Wells,No,0.909,0.317,117,33
Dmitri Young,No,0.909,0.297,85,29
Bret Boone,No,0.902,0.294,117,35
Edgar Martinez,No,0.895,0.294,98,24
Garret Anderson,No,0.886,0.315,116,29
Carl Everett,No,0.876,0.287,92,28
Hank Blalock,No,0.872,0.300,90,29
Nomar Garciaparra,No,0.870,0.301,105,28
Rafael Palmeiro,No,0.867,0.260,112,38
Eric Chavez,No,0.864,0.282,101,29
Jason Varitek,No,0.863,0.273,85,25
Alfonso Soriano,No,0.863,0.290,91,38
Corey Koskie,No,0.845,0.292,69,14
Jim Thome,No,1.122,0.304,118,52
Manny Ramirez,No,1.097,0.349,107,33
Jason Giambi,No,1.034,0.314,122,41
Alex Rodriguez,No,1.015,0.300,142,57
Mike Sweeney,No,0.979,0.340,86,24
Magglio Ordonez,No,0.978,0.320,135,38
Rafael Palmeiro,No,0.962,0.273,105,43
Carlos Delgado,No,0.955,0.277,108,33
Bernie Williams,No,0.908,0.333,102,19
Ellis Burks,No,0.903,0.301,91,32
John Olerud,No,0.893,0.300,102,22
Raul Ibanez,No,0.883,0.294,103,24
Tim Salmon,No,0.883,0.286,88,22
Alfonso Soriano,No,0.880,0.300,102,39
Nomar Garciaparra,No,0.880,0.310,120,24
Garret Anderson,No,0.871,0.306,123,29
Miguel Tejada,Yes,0.861,0.308,131,34
Eric Chavez,No,0.860,0.275,109,34
Torii Hunter,No,0.858,0.289,94,29
Paul Konerko,No,0.857,0.304,104,27
Jacque Jones,No,0.852,0.300,85,27
Carlos Beltran,No,0.847,0.273,105,29
Eric Hinske,No,0.845,0.279,84,24
Carlos Lee,No,0.843,0.264,80,26
Jorge Posada,No,0.837,0.268,99,20
Jason Giambi,No,1.137,0.342,120,38
Jim Thome,No,1.040,0.291,124,49
Alex Rodriguez,No,1.021,0.318,135,52
Manny Ramirez,No,1.014,0.306,125,41
Edgar Martinez,No,0.966,0.306,116,23
Juan Gonzalez,No,0.960,0.325,140,35
Roberto Alomar,No,0.956,0.336,100,20
Bret Boone,No,0.950,0.331,141,37
Carlos Delgado,No,0.948,0.279,102,39
Rafael Palmeiro,No,0.944,0.273,123,47
Bernie Williams,No,0.917,0.307,94,26
Mike Sweeney,No,0.916,0.304,99,29
Magglio Ordonez,No,0.914,0.305,113,31
Ellis Burks,No,0.911,0.280,74,28
Troy Glaus,No,0.898,0.250,108,41
Frank Catalanotto,No,0.882,0.330,54,11
Trot Nixon,No,0.881,0.280,88,27
Eric Chavez,No,0.878,0.288,114,32
Carlos Beltran,No,0.876,0.306,101,24
John Olerud,No,0.873,0.302,95,21
Derek Jeter,No,0.858,0.311,74,21
Jose Cruz,No,0.857,0.274,88,34
Paul Konerko,No,0.856,0.282,99,32
Doug Mientkiewicz,No,0.851,0.306,74,15
Corey Koskie,No,0.850,0.276,103,26
Manny Ramirez,No,1.154,0.351,122,38
Carlos Delgado,No,1.134,0.344,137,41
Jason Giambi,Yes,1.123,0.333,137,43
Frank Thomas,No,1.061,0.328,143,43
Nomar Garciaparra,No,1.033,0.372,96,21
Alex Rodriguez,No,1.026,0.316,132,41
Troy Glaus,No,1.008,0.284,102,47
Edgar Martinez,No,1.002,0.324,145,37
David Justice,No,0.961,0.286,118,41
Carl Everett,No,0.959,0.300,108,34
Bernie Williams,No,0.957,0.307,121,30
Rafael Palmeiro,No,0.954,0.288,120,39
Jermaine Dye,No,0.951,0.321,118,33
Darin Erstad,No,0.951,0.355,100,25
Tim Salmon,No,0.945,0.290,97,34
Jorge Posada,No,0.943,0.287,86,28
Mike Sweeney,No,0.930,0.333,144,29
Jim Thome,No,0.929,0.269,106,37
Magglio Ordonez,No,0.917,0.315,126,32
Bobby Higginson,No,0.915,0.300,102,30
Travis Fryman,No,0.908,0.321,106,22
David Segui,No,0.898,0.334,103,19
Brad Fullmer,No,0.898,0.295,104,32
Derek Jeter,No,0.896,0.339,73,15
Shannon Stewart,No,0.882,0.319,69,21
Manny Ramirez,No,1.105,0.333,165,44
Rafael Palmeiro,No,1.050,0.324,148,47
Nomar Garciaparra,No,1.022,0.357,104,27
Edgar Martinez,No,1.001,0.337,86,24
Derek Jeter,No,0.989,0.349,102,24
Juan Gonzalez,No,0.980,0.326,128,39
Jason Giambi,No,0.975,0.315,123,33
Shawn Green,No,0.972,0.309,123,42
Bernie Williams,No,0.971,0.342,115,25
John Jaha,No,0.970,0.276,111,35
Jim Thome,No,0.967,0.277,108,33
Ken Griffey,No,0.960,0.285,134,48
Fred McGriff,No,0.957,0.310,104,32
Roberto Alomar,No,0.955,0.323,120,24
Carlos Delgado,No,0.948,0.272,134,44
Alex Rodriguez,No,0.943,0.285,111,42
Albert Belle,No,0.941,0.297,117,37
Jose Canseco,No,0.931,0.279,95,34
Ivan Rodriguez,Yes,0.914,0.332,113,35
Mike Sweeney,No,0.907,0.322,102,22
Matt Stairs,No,0.899,0.258,102,38
Rusty Greer,No,0.898,0.300,101,20
David Justice,No,0.889,0.287,88,21
Frank Thomas,No,0.885,0.305,77,15
Brady Anderson,No,0.881,0.282,81,24
Albert Belle,No,1.055,0.328,152,49
Jim Thome,No,0.998,0.293,85,30
Bernie Williams,No,0.997,0.339,97,26
Juan Gonzalez,Yes,0.997,0.318,157,45
Mo Vaughn,No,0.994,0.337,115,40
Edgar Martinez,No,0.993,0.322,102,29
Carlos Delgado,No,0.978,0.292,115,38
Ken Griffey,No,0.977,0.284,146,56
Manny Ramirez,No,0.976,0.294,145,45
Eric Davis,No,0.970,0.327,89,28
Nomar Garciaparra,No,0.946,0.323,122,35
Rafael Palmeiro,No,0.945,0.296,121,43
Tim Salmon,No,0.943,0.300,88,26
Alex Rodriguez,No,0.920,0.310,124,42
Will Clark,No,0.891,0.305,102,23
Paul O'Neill,No,0.882,0.317,116,24
Matt Stairs,No,0.880,0.294,106,26
Tony Clark,No,0.880,0.291,103,34
Jim Edmonds,No,0.874,0.307,91,25
Jason Giambi,No,0.873,0.295,110,27
Ivan Rodriguez,No,0.871,0.321,91,21
Derek Jeter,No,0.864,0.324,84,19
Matt Lawton,No,0.864,0.278,77,21
Frank Thomas,No,0.861,0.265,109,29
Tino Martinez,No,0.860,0.281,123,28
Frank Thomas,No,1.067,0.347,125,35
Ken Griffey,No,1.028,0.304,147,56
David Justice,No,1.013,0.329,101,33
Edgar Martinez,No,1.009,0.330,108,28
Jim Thome,No,1.001,0.286,102,40
Mo Vaughn,No,0.980,0.315,96,35
Manny Ramirez,No,0.953,0.328,88,26
Bernie Williams,No,0.952,0.328,100,21
Tino Martinez,No,0.948,0.296,141,44
Rusty Greer,No,0.936,0.321,87,26
Jeromy Burnitz,No,0.934,0.281,85,27
Juan Gonzalez,No,0.924,0.296,131,42
Paul O'Neill,No,0.912,0.324,117,21
Tim Salmon,No,0.911,0.296,129,33
Bobby Higginson,No,0.899,0.299,101,27
Chili Davis,No,0.896,0.279,90,30
Jay Buhner,No,0.889,0.243,109,40
Carlos Delgado,No,0.878,0.262,91,30
Tony Clark,No,0.876,0.276,117,32
Nomar Garciaparra,No,0.875,0.306,98,30
John Valentin,No,0.871,0.306,77,18
Jim Edmonds,No,0.868,0.291,80,26
Brady Anderson,No,0.863,0.288,73,18
Paul Sorrento,No,0.859,0.269,80,31
Jason Giambi,No,0.857,0.293,81,20
Mark McGwire,No,1.198,0.312,113,52
Frank Thomas,No,1.085,0.349,134,40
Jim Thome,No,1.062,0.311,116,38
Edgar Martinez,No,1.059,0.327,103,26
Alex Rodriguez,No,1.045,0.358,123,36
Brady Anderson,No,1.034,0.297,110,50
Albert Belle,No,1.033,0.311,148,48
Ken Griffey,No,1.020,0.303,140,49
Juan Gonzalez,Yes,1.011,0.314,144,47
Mo Vaughn,No,1.003,0.326,143,44
Bobby Higginson,No,0.982,0.320,81,26
Manny Ramirez,No,0.981,0.309,112,33
Chuck Knoblauch,No,0.965,0.341,72,13
John Jaha,No,0.941,0.300,118,34
Roberto Alomar,No,0.938,0.328,94,22
Dave Nilsson,No,0.932,0.331,84,17
Rafael Palmeiro,No,0.928,0.289,142,39
Rusty Greer,No,0.927,0.332,100,18
Bernie Williams,No,0.926,0.305,102,29
Jay Buhner,No,0.926,0.271,138,44
Harold Baines,No,0.902,0.311,95,22
Jeff Cirillo,No,0.894,0.325,83,15
Robin Ventura,No,0.888,0.287,105,34
Tim Salmon,No,0.887,0.286,98,30
Paul O'Neill,No,0.885,0.302,91,19
Edgar Martinez,No,1.107,0.356,113,29
Albert Belle,No,1.091,0.317,126,50
Frank Thomas,No,1.061,0.308,111,40
Tim Salmon,No,1.024,0.330,105,34
Jim Thome,No,0.996,0.314,73,25
Mo Vaughn,Yes,0.963,0.300,126,39
Rafael Palmeiro,No,0.963,0.310,104,39
Manny Ramirez,No,0.960,0.308,107,31
Harold Baines,No,0.943,0.299,63,24
Chili Davis,No,0.943,0.318,86,20
Jose Canseco,No,0.933,0.306,81,24
John Valentin,No,0.931,0.298,102,27
Tino Martinez,No,0.920,0.293,111,31
Paul O'Neill,No,0.913,0.300,96,22
Chuck Knoblauch,No,0.912,0.333,63,11
Jay Buhner,No,0.909,0.262,121,40
Mickey Tettleton,No,0.906,0.238,78,32
