player name,mvp,ops,avg,rbi,hr
Miguel Andujar,Not MVP,0.855,0.297,92,27
Nick Castellanos,Not MVP,0.854,0.298,89,23
Giancarlo Stanton,Not MVP,0.852,0.266,100,38
Nelson Cruz,Not MVP,0.850,0.256,97,37
Jose Altuve,Not MVP,0.837,0.316,61,13
Aaron Hicks,Not MVP,0.833,0.248,79,27
Michael Brantley,Not MVP,0.832,0.309,76,17
Andrew Benintendi,Not MVP,0.830,0.290,87,16
Didi Gregorius,Not MVP,0.829,0.268,86,27
Stephen Piscotty,Not MVP,0.821,0.267,88,27
C.J. Cron,Not MVP,0.816,0.253,74,30
Shin-Soo Choo,Not MVP,0.810,0.264,62,21
Joey Gallo,Not MVP,0.810,0.206,92,40
Edwin Encarnacion,Not MVP,0.810,0.246,107,32
Justin Upton,Not MVP,0.808,0.257,85,30
Mike Trout,Not MVP,1.071,0.306,72,33
Aaron Judge,Not MVP,1.049,0.284,114,52
Jose Altuve,MVP,0.957,0.346,81,24
Jose Ramirez,Not MVP,0.956,0.318,83,29
Nelson Cruz,Not MVP,0.924,0.288,119,39
Marwin Gonzalez,Not MVP,0.907,0.303,90,23
Jose Abreu,Not MVP,0.906,0.304,102,33
Justin Upton,Not MVP,0.901,0.273,109,35
George Springer,Not MVP,0.889,0.283,85,34
Avisail Garcia,Not MVP,0.886,0.330,80,18
Justin Smoak,Not MVP,0.883,0.270,90,38
Eric Hosmer,Not MVP,0.882,0.318,94,25
Edwin Encarnacion,Not MVP,0.881,0.258,107,38
Gary Sanchez,Not MVP,0.876,0.278,90,33
Joey Gallo,Not MVP,0.870,0.209,80,41
Logan Morrison,Not MVP,0.868,0.246,85,38
Yonder Alonso,Not MVP,0.866,0.266,67,28
Khris Davis,Not MVP,0.864,0.247,110,43
Brian Dozier,Not MVP,0.856,0.271,93,34
Josh Reddick,Not MVP,0.847,0.314,82,13
Francisco Lindor,Not MVP,0.842,0.273,89,33
Jonathan Schoop,Not MVP,0.841,0.293,105,32
Eddie Rosario,Not MVP,0.836,0.290,78,27
Mike Moustakas,Not MVP,0.835,0.272,85,38
Alex Bregman,Not MVP,0.827,0.284,71,19
David Ortiz,Not MVP,1.021,0.315,127,38
Mike Trout,MVP,0.991,0.315,100,29
Miguel Cabrera,Not MVP,0.956,0.316,108,38
Josh Donaldson,Not MVP,0.953,0.284,99,37
Jose Altuve,Not MVP,0.928,0.338,96,24
Nelson Cruz,Not MVP,0.915,0.287,105,43
J.D. Martinez,Not MVP,0.908,0.307,68,22
Mookie Betts,Not MVP,0.897,0.318,113,31
Brian Dozier,Not MVP,0.886,0.268,99,42
Edwin Encarnacion,Not MVP,0.886,0.263,127,42
Robinson Cano,Not MVP,0.882,0.298,103,39
Adrian Beltre,Not MVP,0.879,0.300,104,32
Manny Machado,Not MVP,0.876,0.294,96,37
Hanley Ramirez,Not MVP,0.866,0.286,111,30
Carlos Santana,Not MVP,0.865,0.259,87,34
Kyle Seager,Not MVP,0.859,0.278,99,30
Carlos Beltran,Not MVP,0.850,0.295,93,29
Mark Trumbo,Not MVP,0.850,0.256,108,47
Evan Longoria,Not MVP,0.840,0.273,98,36
Jackie Bradley,Not MVP,0.835,0.267,87,26
Ian Kinsler,Not MVP,0.831,0.288,83,28
Khris Davis,Not MVP,0.831,0.247,102,42
Victor Martinez,Not MVP,0.826,0.289,86,27
Jose Ramirez,Not MVP,0.825,0.312,76,11
Dustin Pedroia,Not MVP,0.825,0.318,74,15
Mike Trout,Not MVP,0.991,0.299,90,41
Miguel Cabrera,Not MVP,0.974,0.338,76,18
Josh Donaldson,MVP,0.939,0.297,123,41
Nelson Cruz,Not MVP,0.936,0.302,93,44
Edwin Encarnacion,Not MVP,0.929,0.277,111,39
Chris Davis,Not MVP,0.923,0.262,117,47
David Ortiz,Not MVP,0.913,0.273,108,37
Jose Bautista,Not MVP,0.913,0.250,114,40
J.D. Martinez,Not MVP,0.879,0.282,102,38
Manny Machado,Not MVP,0.861,0.286,86,35
Michael Brantley,Not MVP,0.859,0.310,84,15
Jose Abreu,Not MVP,0.850,0.290,101,30
Kendrys Morales,Not MVP,0.847,0.290,106,22
Alex Rodriguez,Not MVP,0.842,0.250,86,33
Prince Fielder,Not MVP,0.841,0.305,98,23
Lorenzo Cain,Not MVP,0.838,0.307,72,16
Shin-Soo Choo,Not MVP,0.838,0.276,82,22
Jason Kipnis,Not MVP,0.823,0.303,52,9
Eric Hosmer,Not MVP,0.822,0.297,93,18
Mookie Betts,Not MVP,0.820,0.291,77,18
Mike Moustakas,Not MVP,0.818,0.284,82,22
Mitch Moreland,Not MVP,0.812,0.278,85,23
Jose Altuve,Not MVP,0.812,0.313,66,15
Ben Zobrist,Not MVP,0.809,0.276,56,13
Carlos Beltran,Not MVP,0.808,0.276,67,19
Victor Martinez,Not MVP,0.974,0.335,103,32
Jose Abreu,Not MVP,0.964,0.317,107,36
Mike Trout,MVP,0.939,0.287,111,36
Jose Bautista,Not MVP,0.928,0.286,103,35
Edwin Encarnacion,Not MVP,0.901,0.268,98,34
Miguel Cabrera,Not MVP,0.894,0.313,109,25
Michael Brantley,Not MVP,0.890,0.327,97,20
Adrian Beltre,Not MVP,0.879,0.324,77,19
David Ortiz,Not MVP,0.873,0.263,104,35
Nelson Cruz,Not MVP,0.859,0.271,108,40
Robinson Cano,Not MVP,0.836,0.314,82,14
Jose Altuve,Not MVP,0.830,0.341,59,7
Melky Cabrera,Not MVP,0.808,0.301,73,16
Chris Carter,Not MVP,0.799,0.227,88,37
Josh Donaldson,Not MVP,0.798,0.255,98,29
Carlos Santana,Not MVP,0.792,0.231,85,27
Albert Pujols,Not MVP,0.790,0.272,105,28
Kyle Seager,Not MVP,0.788,0.268,96,25
Yan Gomes,Not MVP,0.785,0.278,74,21
Alex Gordon,Not MVP,0.783,0.266,74,19
Adam Jones,Not MVP,0.780,0.281,96,29
Kole Calhoun,Not MVP,0.776,0.272,58,17
Dexter Fowler,Not MVP,0.774,0.276,35,8
Brandon Moss,Not MVP,0.772,0.234,81,25
Lonnie Chisenhall,Not MVP,0.770,0.280,59,13
Miguel Cabrera,MVP,1.078,0.348,137,44
Chris Davis,Not MVP,1.004,0.286,138,53
Mike Trout,Not MVP,0.988,0.323,97,27
David Ortiz,Not MVP,0.959,0.309,103,30
Edwin Encarnacion,Not MVP,0.904,0.272,104,36
Robinson Cano,Not MVP,0.899,0.314,107,27
Josh Donaldson,Not MVP,0.883,0.301,93,24
Joe Mauer,Not MVP,0.880,0.324,47,11
Adrian Beltre,Not MVP,0.880,0.315,92,30
Brandon Moss,Not MVP,0.859,0.256,87,30
Jose Bautista,Not MVP,0.856,0.259,73,28
Adam Lind,Not MVP,0.854,0.288,67,23
Evan Longoria,Not MVP,0.842,0.269,88,32
Mike Napoli,Not MVP,0.842,0.259,92,23
Carlos Santana,Not MVP,0.832,0.268,74,20
Daniel Nava,Not MVP,0.831,0.303,66,12
Prince Fielder,Not MVP,0.819,0.279,106,25
Jason Kipnis,Not MVP,0.818,0.284,84,17
Adam Jones,Not MVP,0.811,0.285,108,33
Shane Victorino,Not MVP,0.801,0.294,61,15
Eric Hosmer,Not MVP,0.801,0.302,79,17
Torii Hunter,Not MVP,0.800,0.304,84,17
Jed Lowrie,Not MVP,0.791,0.290,75,15
Billy Butler,Not MVP,0.787,0.289,82,15
Dustin Pedroia,Not MVP,0.786,0.301,84,9
Miguel Cabrera,MVP,0.999,0.330,139,44
Mike Trout,Not MVP,0.963,0.326,83,30
Edwin Encarnacion,Not MVP,0.941,0.280,110,42
Prince Fielder,Not MVP,0.940,0.313,108,30
Josh Hamilton,Not MVP,0.930,0.285,128,43
Robinson Cano,Not MVP,0.929,0.313,94,33
Adrian Beltre,Not MVP,0.921,0.321,102,36
Josh Willingham,Not MVP,0.890,0.260,110,35
Billy Butler,Not MVP,0.882,0.313,107,29
Joe Mauer,Not MVP,0.862,0.319,85,10
Yoenis Cespedes,Not MVP,0.861,0.292,82,23
Albert Pujols,Not MVP,0.859,0.285,105,30
David Murphy,Not MVP,0.859,0.304,61,15
Paul Konerko,Not MVP,0.857,0.298,75,26
Austin Jackson,Not MVP,0.856,0.300,66,16
Alex Rios,Not MVP,0.850,0.304,91,25
Ben Zobrist,Not MVP,0.848,0.270,74,20
Adam Jones,Not MVP,0.839,0.287,82,32
Nick Swisher,Not MVP,0.837,0.272,93,24
A.J. Pierzynski,Not MVP,0.827,0.278,77,27
Chris Davis,Not MVP,0.827,0.270,85,33
Alex Gordon,Not MVP,0.822,0.294,72,14
Torii Hunter,Not MVP,0.817,0.313,92,16
Shin-Soo Choo,Not MVP,0.815,0.283,67,16
Adrian Gonzalez,Not MVP,0.812,0.300,86,15
Josh Hamilton,MVP,1.044,0.359,100,32
Miguel Cabrera,Not MVP,1.042,0.328,126,38
Jose Bautista,Not MVP,0.995,0.260,124,54
Paul Konerko,Not MVP,0.977,0.312,111,39
Adrian Beltre,Not MVP,0.918,0.321,102,28
Robinson Cano,Not MVP,0.914,0.319,109,29
Luke Scott,Not MVP,0.902,0.284,72,27
David Ortiz,Not MVP,0.899,0.270,102,32
Shin-Soo Choo,Not MVP,0.885,0.300,90,22
Evan Longoria,Not MVP,0.879,0.294,104,22
Joe Mauer,Not MVP,0.871,0.327,75,9
Nick Swisher,Not MVP,0.870,0.288,89,29
Billy Butler,Not MVP,0.857,0.318,78,15
Carl Crawford,Not MVP,0.851,0.307,90,19
Alex Rodriguez,Not MVP,0.847,0.270,125,30
Vernon Wells,Not MVP,0.846,0.273,88,31
Mark Teixeira,Not MVP,0.846,0.256,108,33
Victor Martinez,Not MVP,0.844,0.302,79,20
Vladimir Guerrero,Not MVP,0.841,0.300,115,29
Delmon Young,Not MVP,0.826,0.298,112,21
Carlos Quentin,Not MVP,0.821,0.243,87,26
Hideki Matsui,Not MVP,0.820,0.274,84,21
Torii Hunter,Not MVP,0.819,0.281,90,23
Nick Markakis,Not MVP,0.805,0.297,60,12
Daric Barton,Not MVP,0.798,0.273,57,10
Joe Mauer,MVP,1.031,0.365,96,28
Kevin Youkilis,Not MVP,0.961,0.305,94,27
Mark Teixeira,Not MVP,0.948,0.292,122,39
Ben Zobrist,Not MVP,0.948,0.297,91,27
Miguel Cabrera,Not MVP,0.942,0.324,103,34
Alex Rodriguez,Not MVP,0.933,0.286,100,30
Adam Lind,Not MVP,0.932,0.305,114,35
Kendrys Morales,Not MVP,0.924,0.306,108,34
Jason Bay,Not MVP,0.921,0.267,119,36
J.D. Drew,Not MVP,0.914,0.279,68,24
Jason Kubel,Not MVP,0.907,0.300,103,28
Carlos Pena,Not MVP,0.893,0.227,100,39
Michael Young,Not MVP,0.892,0.322,68,22
Evan Longoria,Not MVP,0.889,0.281,113,33
Shin-Soo Choo,Not MVP,0.883,0.300,86,20
Jason Bartlett,Not MVP,0.879,0.320,66,14
Justin Morneau,Not MVP,0.878,0.274,100,30
Hideki Matsui,Not MVP,0.876,0.274,90,28
Torii Hunter,Not MVP,0.873,0.299,90,22
Robinson Cano,Not MVP,0.871,0.320,85,25
Derek Jeter,Not MVP,0.871,0.334,66,18
Nick Swisher,Not MVP,0.869,0.249,82,29
Russell Branyan,Not MVP,0.867,0.251,76,31
Michael Cuddyer,Not MVP,0.862,0.276,94,32
Victor Martinez,Not MVP,0.860,0.303,108,23
Milton Bradley,Not MVP,0.999,0.321,77,22
Alex Rodriguez,Not MVP,0.965,0.302,103,35
Carlos Quentin,Not MVP,0.964,0.288,100,36
Kevin Youkilis,Not MVP,0.958,0.312,115,29
Aubrey Huff,Not MVP,0.912,0.304,108,32
Josh Hamilton,Not MVP,0.901,0.304,130,32
Nick Markakis,Not MVP,0.897,0.306,87,20
Ian Kinsler,Not MVP,0.892,0.319,71,18
Miguel Cabrera,Not MVP,0.887,0.292,127,37
Vladimir Guerrero,Not MVP,0.886,0.303,91,27
Jermaine Dye,Not MVP,0.885,0.292,96,34
Grady Sizemore,Not MVP,0.876,0.268,90,33
Jason Giambi,Not MVP,0.876,0.247,96,32
Evan Longoria,Not MVP,0.874,0.272,85,27
Justin Morneau,Not MVP,0.873,0.300,129,23
Carlos Pena,Not MVP,0.871,0.247,102,31
Magglio Ordonez,Not MVP,0.869,0.317,103,21
Dustin Pedroia,MVP,0.869,0.326,83,17
Jim Thome,Not MVP,0.865,0.245,90,34
Joe Mauer,Not MVP,0.864,0.328,85,9
Curtis Granderson,Not MVP,0.858,0.280,66,22
Jack Cust,Not MVP,0.851,0.231,77,33
Bobby Abreu,Not MVP,0.843,0.296,100,20
Raul Ibanez,Not MVP,0.837,0.293,110,23
Johnny Damon,Not MVP,0.836,0.303,71,17
Alex Rodriguez,MVP,1.067,0.314,156,54
David Ortiz,Not MVP,1.066,0.332,117,35
Carlos Pena,Not MVP,1.037,0.282,121,46
Magglio Ordonez,Not MVP,1.029,0.363,139,28
Jim Thome,Not MVP,0.973,0.275,96,35
Jorge Posada,Not MVP,0.970,0.338,90,20
Vladimir Guerrero,Not MVP,0.950,0.324,125,27
Curtis Granderson,Not MVP,0.913,0.302,74,23
Jack Cust,Not MVP,0.912,0.256,82,26
B.J. Upton,Not MVP,0.894,0.300,82,24
Manny Ramirez,Not MVP,0.881,0.296,88,20
Mike Lowell,Not MVP,0.879,0.324,120,21
Victor Martinez,Not MVP,0.879,0.301,114,25
Carlos Guillen,Not MVP,0.859,0.296,102,21
Frank Thomas,Not MVP,0.857,0.277,95,26
Hideki Matsui,Not MVP,0.855,0.285,103,25
Grady Sizemore,Not MVP,0.852,0.277,78,24
Alex Rios,Not MVP,0.852,0.297,85,24
Nick Markakis,Not MVP,0.848,0.300,112,23
Placido Polanco,Not MVP,0.846,0.341,67,9
Kevin Youkilis,Not MVP,0.843,0.288,83,16
Ryan Garko,Not MVP,0.842,0.289,61,21
Robinson Cano,Not MVP,0.841,0.306,97,19
Paul Konerko,Not MVP,0.841,0.259,90,31
Derek Jeter,Not MVP,0.840,0.322,73,12
Travis Hafner,Not MVP,1.097,0.308,117,42
Manny Ramirez,Not MVP,1.058,0.321,102,35
David Ortiz,Not MVP,1.049,0.287,137,54
Jim Thome,Not MVP,1.014,0.288,109,42
Jermaine Dye,Not MVP,1.006,0.315,120,44
Jason Giambi,Not MVP,0.971,0.253,113,37
Joe Mauer,Not MVP,0.936,0.347,84,13
Justin Morneau,MVP,0.934,0.321,130,34
Vladimir Guerrero,Not MVP,0.934,0.329,116,33
Paul Konerko,Not MVP,0.932,0.313,113,35
Frank Thomas,Not MVP,0.926,0.270,114,39
Carlos Guillen,Not MVP,0.920,0.320,85,19
Alex Rodriguez,Not MVP,0.914,0.290,121,35
Grady Sizemore,Not MVP,0.908,0.290,76,28
Derek Jeter,Not MVP,0.900,0.343,97,14
Vernon Wells,Not MVP,0.899,0.303,106,32
Robinson Cano,Not MVP,0.890,0.342,78,15
Mark Teixeira,Not MVP,0.886,0.282,110,33
Lyle Overbay,Not MVP,0.880,0.312,92,22
Miguel Tejada,Not MVP,0.878,0.330,100,24
Raul Ibanez,Not MVP,0.869,0.289,123,33
Reed Johnson,Not MVP,0.869,0.319,49,12
Troy Glaus,Not MVP,0.868,0.252,104,38
Jorge Posada,Not MVP,0.867,0.277,93,23
Michael Cuddyer,Not MVP,0.867,0.284,109,24
Alex Rodriguez,MVP,1.031,0.321,130,48
Travis Hafner,Not MVP,1.003,0.305,108,33
David Ortiz,Not MVP,1.001,0.300,148,47
Manny Ramirez,Not MVP,0.982,0.292,144,45
Jason Giambi,Not MVP,0.975,0.271,87,32
Vladimir Guerrero,Not MVP,0.959,0.317,108,32
Mark Teixeira,Not MVP,0.954,0.301,144,43
Richie Sexson,Not MVP,0.910,0.263,121,39
Paul Konerko,Not MVP,0.909,0.283,100,40
Brian Roberts,Not MVP,0.903,0.314,73,18
Michael Young,Not MVP,0.899,0.331,91,24
Gary Sheffield,Not MVP,0.891,0.291,123,34
Jhonny Peralta,Not MVP,0.885,0.292,78,24
David Dellucci,Not MVP,0.879,0.251,65,29
Miguel Tejada,Not MVP,0.865,0.304,98,26
Mike Sweeney,Not MVP,0.864,0.300,83,21
Hideki Matsui,Not MVP,0.863,0.305,116,23
Jason Varitek,Not MVP,0.856,0.281,70,22
Victor Martinez,Not MVP,0.853,0.305,80,20
Jermaine Dye,Not MVP,0.846,0.274,86,31
Derek Jeter,Not MVP,0.839,0.309,70,19
Jay Gibbons,Not MVP,0.833,0.277,79,26
Grady Sizemore,Not MVP,0.832,0.289,81,22
Melvin Mora,Not MVP,0.821,0.283,88,27
Alfonso Soriano,Not MVP,0.821,0.268,104,36
Manny Ramirez,Not MVP,1.009,0.308,130,43
Travis Hafner,Not MVP,0.993,0.311,109,28
Vladimir Guerrero,MVP,0.989,0.337,126,39
David Ortiz,Not MVP,0.983,0.301,139,41
Melvin Mora,Not MVP,0.981,0.340,104,27
Mark Teixeira,Not MVP,0.929,0.281,112,38
Gary Sheffield,Not MVP,0.927,0.290,121,36
Carlos Guillen,Not MVP,0.922,0.318,97,20
Erubiel Durazo,Not MVP,0.919,0.321,88,22
Hideki Matsui,Not MVP,0.912,0.298,108,31
Carlos Delgado,Not MVP,0.907,0.269,99,32
Aaron Rowand,Not MVP,0.905,0.310,69,24
Eric Chavez,Not MVP,0.898,0.276,77,29
Miguel Tejada,Not MVP,0.894,0.311,150,34
Paul Konerko,Not MVP,0.894,0.277,117,41
Ivan Rodriguez,Not MVP,0.893,0.334,86,19
Carlos Lee,Not MVP,0.891,0.305,99,31
Alex Rodriguez,Not MVP,0.888,0.286,106,36
Jorge Posada,Not MVP,0.881,0.272,81,21
Javy Lopez,Not MVP,0.872,0.316,86,23
Jason Varitek,Not MVP,0.872,0.296,73,18
Ichiro Suzuki,Not MVP,0.869,0.372,60,8
Kevin Millar,Not MVP,0.857,0.297,74,18
Johnny Damon,Not MVP,0.857,0.304,94,20
Hank Blalock,Not MVP,0.855,0.276,110,32
Carlos Delgado,Not MVP,1.019,0.302,145,42
Manny Ramirez,Not MVP,1.014,0.325,104,37
Alex Rodriguez,MVP,0.996,0.298,118,47
Trot Nixon,Not MVP,0.975,0.306,87,28
David Ortiz,Not MVP,0.961,0.288,101,31
Frank Thomas,Not MVP,0.952,0.267,105,42
Jason Giambi,Not MVP,0.939,0.250,107,41
Bill Mueller,Not MVP,0.938,0.326,85,19
Magglio Ordonez,Not MVP,0.926,0.317,99,29
Jorge Posada,Not MVP,0.922,0.281,101,30
Aubrey Huff,Not MVP,0.922,0.311,107,34
Carlos Beltran,Not MVP,0.911,0.307,100,26
Vernon Wells,Not MVP,0.909,0.317,117,33
Dmitri Young,Not MVP,0.909,0.297,85,29
Bret Boone,Not MVP,0.902,0.294,117,35
Edgar Martinez,Not MVP,0.895,0.294,98,24
Garret Anderson,Not MVP,0.886,0.315,116,29
Carl Everett,Not MVP,0.876,0.287,92,28
Hank Blalock,Not MVP,0.872,0.300,90,29
Nomar Garciaparra,Not MVP,0.870,0.301,105,28
Rafael Palmeiro,Not MVP,0.867,0.260,112,38
Eric Chavez,Not MVP,0.864,0.282,101,29
Jason Varitek,Not MVP,0.863,0.273,85,25
Alfonso Soriano,Not MVP,0.863,0.290,91,38
Corey Koskie,Not MVP,0.845,0.292,69,14
Jim Thome,Not MVP,1.122,0.304,118,52
Manny Ramirez,Not MVP,1.097,0.349,107,33
Jason Giambi,Not MVP,1.034,0.314,122,41
Alex Rodriguez,Not MVP,1.015,0.300,142,57
Mike Sweeney,Not MVP,0.979,0.340,86,24
Magglio Ordonez,Not MVP,0.978,0.320,135,38
Rafael Palmeiro,Not MVP,0.962,0.273,105,43
Carlos Delgado,Not MVP,0.955,0.277,108,33
Bernie Williams,Not MVP,0.908,0.333,102,19
Ellis Burks,Not MVP,0.903,0.301,91,32
John Olerud,Not MVP,0.893,0.300,102,22
Raul Ibanez,Not MVP,0.883,0.294,103,24
Tim Salmon,Not MVP,0.883,0.286,88,22
Alfonso Soriano,Not MVP,0.880,0.300,102,39
Nomar Garciaparra,Not MVP,0.880,0.310,120,24
Garret Anderson,Not MVP,0.871,0.306,123,29
Miguel Tejada,MVP,0.861,0.308,131,34
Eric Chavez,Not MVP,0.860,0.275,109,34
Torii Hunter,Not MVP,0.858,0.289,94,29
Paul Konerko,Not MVP,0.857,0.304,104,27
Jacque Jones,Not MVP,0.852,0.300,85,27
Carlos Beltran,Not MVP,0.847,0.273,105,29
Eric Hinske,Not MVP,0.845,0.279,84,24
Carlos Lee,Not MVP,0.843,0.264,80,26
Jorge Posada,Not MVP,0.837,0.268,99,20
Jason Giambi,Not MVP,1.137,0.342,120,38
Jim Thome,Not MVP,1.040,0.291,124,49
Alex Rodriguez,Not MVP,1.021,0.318,135,52
Manny Ramirez,Not MVP,1.014,0.306,125,41
Edgar Martinez,Not MVP,0.966,0.306,116,23
Juan Gonzalez,Not MVP,0.960,0.325,140,35
Roberto Alomar,Not MVP,0.956,0.336,100,20
Bret Boone,Not MVP,0.950,0.331,141,37
Carlos Delgado,Not MVP,0.948,0.279,102,39
Rafael Palmeiro,Not MVP,0.944,0.273,123,47
Bernie Williams,Not MVP,0.917,0.307,94,26
Mike Sweeney,Not MVP,0.916,0.304,99,29
Magglio Ordonez,Not MVP,0.914,0.305,113,31
Ellis Burks,Not MVP,0.911,0.280,74,28
Troy Glaus,Not MVP,0.898,0.250,108,41
Frank Catalanotto,Not MVP,0.882,0.330,54,11
Trot Nixon,Not MVP,0.881,0.280,88,27
Eric Chavez,Not MVP,0.878,0.288,114,32
Carlos Beltran,Not MVP,0.876,0.306,101,24
John Olerud,Not MVP,0.873,0.302,95,21
Derek Jeter,Not MVP,0.858,0.311,74,21
Jose Cruz,Not MVP,0.857,0.274,88,34
Paul Konerko,Not MVP,0.856,0.282,99,32
Doug Mientkiewicz,Not MVP,0.851,0.306,74,15
Corey Koskie,Not MVP,0.850,0.276,103,26
Manny Ramirez,Not MVP,1.154,0.351,122,38
Carlos Delgado,Not MVP,1.134,0.344,137,41
Jason Giambi,MVP,1.123,0.333,137,43
Frank Thomas,Not MVP,1.061,0.328,143,43
Nomar Garciaparra,Not MVP,1.033,0.372,96,21
Alex Rodriguez,Not MVP,1.026,0.316,132,41
Troy Glaus,Not MVP,1.008,0.284,102,47
Edgar Martinez,Not MVP,1.002,0.324,145,37
David Justice,Not MVP,0.961,0.286,118,41
Carl Everett,Not MVP,0.959,0.300,108,34
Bernie Williams,Not MVP,0.957,0.307,121,30
Rafael Palmeiro,Not MVP,0.954,0.288,120,39
Jermaine Dye,Not MVP,0.951,0.321,118,33
Darin Erstad,Not MVP,0.951,0.355,100,25
Tim Salmon,Not MVP,0.945,0.290,97,34
Jorge Posada,Not MVP,0.943,0.287,86,28
Mike Sweeney,Not MVP,0.930,0.333,144,29
Jim Thome,Not MVP,0.929,0.269,106,37
Magglio Ordonez,Not MVP,0.917,0.315,126,32
Bobby Higginson,Not MVP,0.915,0.300,102,30
Travis Fryman,Not MVP,0.908,0.321,106,22
David Segui,Not MVP,0.898,0.334,103,19
Brad Fullmer,Not MVP,0.898,0.295,104,32
Derek Jeter,Not MVP,0.896,0.339,73,15
Shannon Stewart,Not MVP,0.882,0.319,69,21
Manny Ramirez,Not MVP,1.105,0.333,165,44
Rafael Palmeiro,Not MVP,1.050,0.324,148,47
Nomar Garciaparra,Not MVP,1.022,0.357,104,27
Edgar Martinez,Not MVP,1.001,0.337,86,24
Derek Jeter,Not MVP,0.989,0.349,102,24
Juan Gonzalez,Not MVP,0.980,0.326,128,39
Jason Giambi,Not MVP,0.975,0.315,123,33
Shawn Green,Not MVP,0.972,0.309,123,42
Bernie Williams,Not MVP,0.971,0.342,115,25
John Jaha,Not MVP,0.970,0.276,111,35
Jim Thome,Not MVP,0.967,0.277,108,33
Ken Griffey,Not MVP,0.960,0.285,134,48
Fred McGriff,Not MVP,0.957,0.310,104,32
Roberto Alomar,Not MVP,0.955,0.323,120,24
Carlos Delgado,Not MVP,0.948,0.272,134,44
Alex Rodriguez,Not MVP,0.943,0.285,111,42
Albert Belle,Not MVP,0.941,0.297,117,37
Jose Canseco,Not MVP,0.931,0.279,95,34
Ivan Rodriguez,MVP,0.914,0.332,113,35
Mike Sweeney,Not MVP,0.907,0.322,102,22
Matt Stairs,Not MVP,0.899,0.258,102,38
Rusty Greer,Not MVP,0.898,0.300,101,20
David Justice,Not MVP,0.889,0.287,88,21
Frank Thomas,Not MVP,0.885,0.305,77,15
Brady Anderson,Not MVP,0.881,0.282,81,24
Albert Belle,Not MVP,1.055,0.328,152,49
Jim Thome,Not MVP,0.998,0.293,85,30
