player name,mvp,ops,avg,rbi,hr
Mookie Betts,0,0.820,0.291,77,18
Mike Moustakas,0,0.818,0.284,82,22
Mitch Moreland,0,0.812,0.278,85,23
Jose Altuve,0,0.812,0.313,66,15
Ben Zobrist,0,0.809,0.276,56,13
Carlos Beltran,0,0.808,0.276,67,19
Victor Martinez,0,0.974,0.335,103,32
Jose Abreu,0,0.964,0.317,107,36
Mike Trout,1,0.939,0.287,111,36
Jose Bautista,0,0.928,0.286,103,35
Edwin Encarnacion,0,0.901,0.268,98,34
Miguel Cabrera,0,0.894,0.313,109,25
Michael Brantley,0,0.890,0.327,97,20
Adrian Beltre,0,0.879,0.324,77,19
David Ortiz,0,0.873,0.263,104,35
Nelson Cruz,0,0.859,0.271,108,40
Robinson Cano,0,0.836,0.314,82,14
Jose Altuve,0,0.830,0.341,59,7
Melky Cabrera,0,0.808,0.301,73,16
Chris Carter,0,0.799,0.227,88,37
Josh Donaldson,0,0.798,0.255,98,29
Carlos Santana,0,0.792,0.231,85,27
Albert Pujols,0,0.790,0.272,105,28
Kyle Seager,0,0.788,0.268,96,25
Yan Gomes,0,0.785,0.278,74,21
Alex Gordon,0,0.783,0.266,74,19
Adam Jones,0,0.780,0.281,96,29
Kole Calhoun,0,0.776,0.272,58,17
Dexter Fowler,0,0.774,0.276,35,8
Brandon Moss,0,0.772,0.234,81,25
Lonnie Chisenhall,0,0.770,0.280,59,13
Miguel Cabrera,1,1.078,0.348,137,44
Chris Davis,0,1.004,0.286,138,53
Mike Trout,0,0.988,0.323,97,27
David Ortiz,0,0.959,0.309,103,30
Edwin Encarnacion,0,0.904,0.272,104,36
Robinson Cano,0,0.899,0.314,107,27
Josh Donaldson,0,0.883,0.301,93,24
Joe Mauer,0,0.880,0.324,47,11
Adrian Beltre,0,0.880,0.315,92,30
Brandon Moss,0,0.859,0.256,87,30
Jose Bautista,0,0.856,0.259,73,28
Adam Lind,0,0.854,0.288,67,23
Evan Longoria,0,0.842,0.269,88,32
Mike Napoli,0,0.842,0.259,92,23
Carlos Santana,0,0.832,0.268,74,20
Daniel Nava,0,0.831,0.303,66,12
Prince Fielder,0,0.819,0.279,106,25
Jason Kipnis,0,0.818,0.284,84,17
Adam Jones,0,0.811,0.285,108,33
Shane Victorino,0,0.801,0.294,61,15
Eric Hosmer,0,0.801,0.302,79,17
Torii Hunter,0,0.800,0.304,84,17
Jed Lowrie,0,0.791,0.290,75,15
Billy Butler,0,0.787,0.289,82,15
Dustin Pedroia,0,0.786,0.301,84,9
Miguel Cabrera,1,0.999,0.330,139,44
Mike Trout,0,0.963,0.326,83,30
Edwin Encarnacion,0,0.941,0.280,110,42
Prince Fielder,0,0.940,0.313,108,30
Josh Hamilton,0,0.930,0.285,128,43
Robinson Cano,0,0.929,0.313,94,33
Adrian Beltre,0,0.921,0.321,102,36
Josh Willingham,0,0.890,0.260,110,35
Billy Butler,0,0.882,0.313,107,29
Joe Mauer,0,0.862,0.319,85,10
Yoenis Cespedes,0,0.861,0.292,82,23
Albert Pujols,0,0.859,0.285,105,30
David Murphy,0,0.859,0.304,61,15
Paul Konerko,0,0.857,0.298,75,26
Austin Jackson,0,0.856,0.300,66,16
Alex Rios,0,0.850,0.304,91,25
Ben Zobrist,0,0.848,0.270,74,20
Adam Jones,0,0.839,0.287,82,32
Nick Swisher,0,0.837,0.272,93,24
A.J. Pierzynski,0,0.827,0.278,77,27
Chris Davis,0,0.827,0.270,85,33
Alex Gordon,0,0.822,0.294,72,14
Torii Hunter,0,0.817,0.313,92,16
Shin-Soo Choo,0,0.815,0.283,67,16
Adrian Gonzalez,0,0.812,0.300,86,15
Josh Hamilton,1,1.044,0.359,100,32
Miguel Cabrera,0,1.042,0.328,126,38
Jose Bautista,0,0.995,0.260,124,54
Paul Konerko,0,0.977,0.312,111,39
Adrian Beltre,0,0.918,0.321,102,28
Robinson Cano,0,0.914,0.319,109,29
Luke Scott,0,0.902,0.284,72,27
David Ortiz,0,0.899,0.270,102,32
Shin-Soo Choo,0,0.885,0.300,90,22
Evan Longoria,0,0.879,0.294,104,22
Joe Mauer,0,0.871,0.327,75,9
Nick Swisher,0,0.870,0.288,89,29
Billy Butler,0,0.857,0.318,78,15
Carl Crawford,0,0.851,0.307,90,19
Alex Rodriguez,0,0.847,0.270,125,30
Vernon Wells,0,0.846,0.273,88,31
Mark Teixeira,0,0.846,0.256,108,33
Victor Martinez,0,0.844,0.302,79,20
Vladimir Guerrero,0,0.841,0.300,115,29
Delmon Young,0,0.826,0.298,112,21
Carlos Quentin,0,0.821,0.243,87,26
Hideki Matsui,0,0.820,0.274,84,21
Torii Hunter,0,0.819,0.281,90,23
Nick Markakis,0,0.805,0.297,60,12
Daric Barton,0,0.798,0.273,57,10
Joe Mauer,1,1.031,0.365,96,28
Kevin Youkilis,0,0.961,0.305,94,27
Mark Teixeira,0,0.948,0.292,122,39
Ben Zobrist,0,0.948,0.297,91,27
Miguel Cabrera,0,0.942,0.324,103,34
Alex Rodriguez,0,0.933,0.286,100,30
Adam Lind,0,0.932,0.305,114,35
Kendrys Morales,0,0.924,0.306,108,34
Jason Bay,0,0.921,0.267,119,36
J.D. Drew,0,0.914,0.279,68,24
Jason Kubel,0,0.907,0.300,103,28
Carlos Pena,0,0.893,0.227,100,39
Michael Young,0,0.892,0.322,68,22
Evan Longoria,0,0.889,0.281,113,33
Shin-Soo Choo,0,0.883,0.300,86,20
Jason Bartlett,0,0.879,0.320,66,14
Justin Morneau,0,0.878,0.274,100,30
Hideki Matsui,0,0.876,0.274,90,28
Torii Hunter,0,0.873,0.299,90,22
Robinson Cano,0,0.871,0.320,85,25
Derek Jeter,0,0.871,0.334,66,18
Nick Swisher,0,0.869,0.249,82,29
Russell Branyan,0,0.867,0.251,76,31
Michael Cuddyer,0,0.862,0.276,94,32
Victor Martinez,0,0.860,0.303,108,23
Milton Bradley,0,0.999,0.321,77,22
Alex Rodriguez,0,0.965,0.302,103,35
Carlos Quentin,0,0.964,0.288,100,36
Kevin Youkilis,0,0.958,0.312,115,29
Aubrey Huff,0,0.912,0.304,108,32
Josh Hamilton,0,0.901,0.304,130,32
Nick Markakis,0,0.897,0.306,87,20
Ian Kinsler,0,0.892,0.319,71,18
Miguel Cabrera,0,0.887,0.292,127,37
Vladimir Guerrero,0,0.886,0.303,91,27
Jermaine Dye,0,0.885,0.292,96,34
Grady Sizemore,0,0.876,0.268,90,33
Jason Giambi,0,0.876,0.247,96,32
Evan Longoria,0,0.874,0.272,85,27
Justin Morneau,0,0.873,0.300,129,23
Carlos Pena,0,0.871,0.247,102,31
Magglio Ordonez,0,0.869,0.317,103,21
Dustin Pedroia,1,0.869,0.326,83,17
Jim Thome,0,0.865,0.245,90,34
Joe Mauer,0,0.864,0.328,85,9
Curtis Granderson,0,0.858,0.280,66,22
Jack Cust,0,0.851,0.231,77,33
Bobby Abreu,0,0.843,0.296,100,20
Raul Ibanez,0,0.837,0.293,110,23
Johnny Damon,0,0.836,0.303,71,17
Alex Rodriguez,1,1.067,0.314,156,54
David Ortiz,0,1.066,0.332,117,35
Carlos Pena,0,1.037,0.282,121,46
Magglio Ordonez,0,1.029,0.363,139,28
Jim Thome,0,0.973,0.275,96,35
Jorge Posada,0,0.970,0.338,90,20
Vladimir Guerrero,0,0.950,0.324,125,27
Curtis Granderson,0,0.913,0.302,74,23
Jack Cust,0,0.912,0.256,82,26
B.J. Upton,0,0.894,0.300,82,24
Manny Ramirez,0,0.881,0.296,88,20
Mike Lowell,0,0.879,0.324,120,21
Victor Martinez,0,0.879,0.301,114,25
Carlos Guillen,0,0.859,0.296,102,21
Frank Thomas,0,0.857,0.277,95,26
Hideki Matsui,0,0.855,0.285,103,25
Grady Sizemore,0,0.852,0.277,78,24
Alex Rios,0,0.852,0.297,85,24
Nick Markakis,0,0.848,0.300,112,23
Placido Polanco,0,0.846,0.341,67,9
Kevin Youkilis,0,0.843,0.288,83,16
Ryan Garko,0,0.842,0.289,61,21
Robinson Cano,0,0.841,0.306,97,19
Paul Konerko,0,0.841,0.259,90,31
Derek Jeter,0,0.840,0.322,73,12
Travis Hafner,0,1.097,0.308,117,42
Manny Ramirez,0,1.058,0.321,102,35
David Ortiz,0,1.049,0.287,137,54
Jim Thome,0,1.014,0.288,109,42
Jermaine Dye,0,1.006,0.315,120,44
Jason Giambi,0,0.971,0.253,113,37
Joe Mauer,0,0.936,0.347,84,13
Justin Morneau,1,0.934,0.321,130,34
Vladimir Guerrero,0,0.934,0.329,116,33
Paul Konerko,0,0.932,0.313,113,35
Frank Thomas,0,0.926,0.270,114,39
Carlos Guillen,0,0.920,0.320,85,19
Alex Rodriguez,0,0.914,0.290,121,35
Grady Sizemore,0,0.908,0.290,76,28
Derek Jeter,0,0.900,0.343,97,14
Vernon Wells,0,0.899,0.303,106,32
Robinson Cano,0,0.890,0.342,78,15
Mark Teixeira,0,0.886,0.282,110,33
Lyle Overbay,0,0.880,0.312,92,22
Miguel Tejada,0,0.878,0.330,100,24
Raul Ibanez,0,0.869,0.289,123,33
Reed Johnson,0,0.869,0.319,49,12
Troy Glaus,0,0.868,0.252,104,38
Jorge Posada,0,0.867,0.277,93,23
Michael Cuddyer,0,0.867,0.284,109,24
Alex Rodriguez,1,1.031,0.321,130,48
Travis Hafner,0,1.003,0.305,108,33
David Ortiz,0,1.001,0.300,148,47
Manny Ramirez,0,0.982,0.292,144,45
Jason Giambi,0,0.975,0.271,87,32
Vladimir Guerrero,0,0.959,0.317,108,32
Mark Teixeira,0,0.954,0.301,144,43
Richie Sexson,0,0.910,0.263,121,39
Paul Konerko,0,0.909,0.283,100,40
Brian Roberts,0,0.903,0.314,73,18
Michael Young,0,0.899,0.331,91,24
Gary Sheffield,0,0.891,0.291,123,34
Jhonny Peralta,0,0.885,0.292,78,24
David Dellucci,0,0.879,0.251,65,29
Miguel Tejada,0,0.865,0.304,98,26
Mike Sweeney,0,0.864,0.300,83,21
Hideki Matsui,0,0.863,0.305,116,23
Jason Varitek,0,0.856,0.281,70,22
Victor Martinez,0,0.853,0.305,80,20
Jermaine Dye,0,0.846,0.274,86,31
Derek Jeter,0,0.839,0.309,70,19
Jay Gibbons,0,0.833,0.277,79,26
Grady Sizemore,0,0.832,0.289,81,22
Melvin Mora,0,0.821,0.283,88,27
Alfonso Soriano,0,0.821,0.268,104,36
Manny Ramirez,0,1.009,0.308,130,43
Travis Hafner,0,0.993,0.311,109,28
Vladimir Guerrero,1,0.989,0.337,126,39
David Ortiz,0,0.983,0.301,139,41
Melvin Mora,0,0.981,0.340,104,27
Mark Teixeira,0,0.929,0.281,112,38
Gary Sheffield,0,0.927,0.290,121,36
Carlos Guillen,0,0.922,0.318,97,20
Erubiel Durazo,0,0.919,0.321,88,22
Hideki Matsui,0,0.912,0.298,108,31
Carlos Delgado,0,0.907,0.269,99,32
Aaron Rowand,0,0.905,0.310,69,24
Eric Chavez,0,0.898,0.276,77,29
Miguel Tejada,0,0.894,0.311,150,34
Paul Konerko,0,0.894,0.277,117,41
Ivan Rodriguez,0,0.893,0.334,86,19
Carlos Lee,0,0.891,0.305,99,31
Alex Rodriguez,0,0.888,0.286,106,36
Jorge Posada,0,0.881,0.272,81,21
Javy Lopez,0,0.872,0.316,86,23
Jason Varitek,0,0.872,0.296,73,18
Ichiro Suzuki,0,0.869,0.372,60,8
Kevin Millar,0,0.857,0.297,74,18
Johnny Damon,0,0.857,0.304,94,20
Hank Blalock,0,0.855,0.276,110,32
Carlos Delgado,0,1.019,0.302,145,42
Manny Ramirez,0,1.014,0.325,104,37
Alex Rodriguez,1,0.996,0.298,118,47
Trot Nixon,0,0.975,0.306,87,28
David Ortiz,0,0.961,0.288,101,31
Frank Thomas,0,0.952,0.267,105,42
Jason Giambi,0,0.939,0.250,107,41
Bill Mueller,0,0.938,0.326,85,19
Magglio Ordonez,0,0.926,0.317,99,29
Jorge Posada,0,0.922,0.281,101,30
Aubrey Huff,0,0.922,0.311,107,34
Carlos Beltran,0,0.911,0.307,100,26
Vernon Wells,0,0.909,0.317,117,33
Dmitri Young,0,0.909,0.297,85,29
Bret Boone,0,0.902,0.294,117,35
Edgar Martinez,0,0.895,0.294,98,24
Garret Anderson,0,0.886,0.315,116,29
Carl Everett,0,0.876,0.287,92,28
Hank Blalock,0,0.872,0.300,90,29
Nomar Garciaparra,0,0.870,0.301,105,28
Rafael Palmeiro,0,0.867,0.260,112,38
Eric Chavez,0,0.864,0.282,101,29
Jason Varitek,0,0.863,0.273,85,25
Alfonso Soriano,0,0.863,0.290,91,38
Corey Koskie,0,0.845,0.292,69,14
Jim Thome,0,1.122,0.304,118,52
Manny Ramirez,0,1.097,0.349,107,33
Jason Giambi,0,1.034,0.314,122,41
Alex Rodriguez,0,1.015,0.300,142,57
Mike Sweeney,0,0.979,0.340,86,24
Magglio Ordonez,0,0.978,0.320,135,38
Rafael Palmeiro,0,0.962,0.273,105,43
Carlos Delgado,0,0.955,0.277,108,33
Bernie Williams,0,0.908,0.333,102,19
Ellis Burks,0,0.903,0.301,91,32
John Olerud,0,0.893,0.300,102,22
Raul Ibanez,0,0.883,0.294,103,24
Tim Salmon,0,0.883,0.286,88,22
Alfonso Soriano,0,0.880,0.300,102,39
Nomar Garciaparra,0,0.880,0.310,120,24
Garret Anderson,0,0.871,0.306,123,29
Miguel Tejada,1,0.861,0.308,131,34
Eric Chavez,0,0.860,0.275,109,34
Torii Hunter,0,0.858,0.289,94,29
Paul Konerko,0,0.857,0.304,104,27
Jacque Jones,0,0.852,0.300,85,27
Carlos Beltran,0,0.847,0.273,105,29
Eric Hinske,0,0.845,0.279,84,24
Carlos Lee,0,0.843,0.264,80,26
Jorge Posada,0,0.837,0.268,99,20
Jason Giambi,0,1.137,0.342,120,38
Jim Thome,0,1.040,0.291,124,49
Alex Rodriguez,0,1.021,0.318,135,52
Manny Ramirez,0,1.014,0.306,125,41
Edgar Martinez,0,0.966,0.306,116,23
Juan Gonzalez,0,0.960,0.325,140,35
Roberto Alomar,0,0.956,0.336,100,20
Bret Boone,0,0.950,0.331,141,37
Carlos Delgado,0,0.948,0.279,102,39
Rafael Palmeiro,0,0.944,0.273,123,47
Bernie Williams,0,0.917,0.307,94,26
Mike Sweeney,0,0.916,0.304,99,29
Magglio Ordonez,0,0.914,0.305,113,31
Ellis Burks,0,0.911,0.280,74,28
Troy Glaus,0,0.898,0.250,108,41
Frank Catalanotto,0,0.882,0.330,54,11
Trot Nixon,0,0.881,0.280,88,27
Eric Chavez,0,0.878,0.288,114,32
Carlos Beltran,0,0.876,0.306,101,24
John Olerud,0,0.873,0.302,95,21
Derek Jeter,0,0.858,0.311,74,21
Jose Cruz,0,0.857,0.274,88,34
Paul Konerko,0,0.856,0.282,99,32
Doug Mientkiewicz,0,0.851,0.306,74,15
Corey Koskie,0,0.850,0.276,103,26
Manny Ramirez,0,1.154,0.351,122,38
Carlos Delgado,0,1.134,0.344,137,41
Jason Giambi,1,1.123,0.333,137,43
Frank Thomas,0,1.061,0.328,143,43
Nomar Garciaparra,0,1.033,0.372,96,21
Alex Rodriguez,0,1.026,0.316,132,41
Troy Glaus,0,1.008,0.284,102,47
Edgar Martinez,0,1.002,0.324,145,37
David Justice,0,0.961,0.286,118,41
Carl Everett,0,0.959,0.300,108,34
Bernie Williams,0,0.957,0.307,121,30
Rafael Palmeiro,0,0.954,0.288,120,39
Jermaine Dye,0,0.951,0.321,118,33
Darin Erstad,0,0.951,0.355,100,25
Tim Salmon,0,0.945,0.290,97,34
Jorge Posada,0,0.943,0.287,86,28
Mike Sweeney,0,0.930,0.333,144,29
Jim Thome,0,0.929,0.269,106,37
Magglio Ordonez,0,0.917,0.315,126,32
Bobby Higginson,0,0.915,0.300,102,30
Travis Fryman,0,0.908,0.321,106,22
David Segui,0,0.898,0.334,103,19
Brad Fullmer,0,0.898,0.295,104,32
Derek Jeter,0,0.896,0.339,73,15
Shannon Stewart,0,0.882,0.319,69,21
Manny Ramirez,0,1.105,0.333,165,44
Rafael Palmeiro,0,1.050,0.324,148,47
Nomar Garciaparra,0,1.022,0.357,104,27
Edgar Martinez,0,1.001,0.337,86,24
Derek Jeter,0,0.989,0.349,102,24
Juan Gonzalez,0,0.980,0.326,128,39
Jason Giambi,0,0.975,0.315,123,33
Shawn Green,0,0.972,0.309,123,42
Bernie Williams,0,0.971,0.342,115,25
John Jaha,0,0.970,0.276,111,35
Jim Thome,0,0.967,0.277,108,33
Ken Griffey,0,0.960,0.285,134,48
Fred McGriff,0,0.957,0.310,104,32
Roberto Alomar,0,0.955,0.323,120,24
Carlos Delgado,0,0.948,0.272,134,44
Alex Rodriguez,0,0.943,0.285,111,42
Albert Belle,0,0.941,0.297,117,37
Jose Canseco,0,0.931,0.279,95,34
Ivan Rodriguez,1,0.914,0.332,113,35
Mike Sweeney,0,0.907,0.322,102,22
Matt Stairs,0,0.899,0.258,102,38
Rusty Greer,0,0.898,0.300,101,20
David Justice,0,0.889,0.287,88,21
Frank Thomas,0,0.885,0.305,77,15
Brady Anderson,0,0.881,0.282,81,24
Albert Belle,0,1.055,0.328,152,49
Jim Thome,0,0.998,0.293,85,30
Bernie Williams,0,0.997,0.339,97,26
Juan Gonzalez,1,0.997,0.318,157,45
Mo Vaughn,0,0.994,0.337,115,40
Edgar Martinez,0,0.993,0.322,102,29
Carlos Delgado,0,0.978,0.292,115,38
Ken Griffey,0,0.977,0.284,146,56
Manny Ramirez,0,0.976,0.294,145,45
Eric Davis,0,0.970,0.327,89,28
Nomar Garciaparra,0,0.946,0.323,122,35
Rafael Palmeiro,0,0.945,0.296,121,43
Tim Salmon,0,0.943,0.300,88,26
Alex Rodriguez,0,0.920,0.310,124,42
Will Clark,0,0.891,0.305,102,23
Paul O'Neill,0,0.882,0.317,116,24
Matt Stairs,0,0.880,0.294,106,26
Tony Clark,0,0.880,0.291,103,34
Jim Edmonds,0,0.874,0.307,91,25
Jason Giambi,0,0.873,0.295,110,27
Ivan Rodriguez,0,0.871,0.321,91,21
Derek Jeter,0,0.864,0.324,84,19
Matt Lawton,0,0.864,0.278,77,21
Frank Thomas,0,0.861,0.265,109,29
Tino Martinez,0,0.860,0.281,123,28
Frank Thomas,0,1.067,0.347,125,35
Ken Griffey,0,1.028,0.304,147,56
David Justice,0,1.013,0.329,101,33
Edgar Martinez,0,1.009,0.330,108,28
Jim Thome,0,1.001,0.286,102,40
Mo Vaughn,0,0.980,0.315,96,35
Manny Ramirez,0,0.953,0.328,88,26
Bernie Williams,0,0.952,0.328,100,21
Tino Martinez,0,0.948,0.296,141,44
Rusty Greer,0,0.936,0.321,87,26
Jeromy Burnitz,0,0.934,0.281,85,27
Juan Gonzalez,0,0.924,0.296,131,42
Paul O'Neill,0,0.912,0.324,117,21
Tim Salmon,0,0.911,0.296,129,33
Bobby Higginson,0,0.899,0.299,101,27
Chili Davis,0,0.896,0.279,90,30
Jay Buhner,0,0.889,0.243,109,40
Carlos Delgado,0,0.878,0.262,91,30
Tony Clark,0,0.876,0.276,117,32
Nomar Garciaparra,0,0.875,0.306,98,30
John Valentin,0,0.871,0.306,77,18
Jim Edmonds,0,0.868,0.291,80,26
Brady Anderson,0,0.863,0.288,73,18
Paul Sorrento,0,0.859,0.269,80,31
Jason Giambi,0,0.857,0.293,81,20
Mark McGwire,0,1.198,0.312,113,52
Frank Thomas,0,1.085,0.349,134,40
Jim Thome,0,1.062,0.311,116,38
Edgar Martinez,0,1.059,0.327,103,26
Alex Rodriguez,0,1.045,0.358,123,36
Brady Anderson,0,1.034,0.297,110,50
Albert Belle,0,1.033,0.311,148,48
Ken Griffey,0,1.020,0.303,140,49
Juan Gonzalez,1,1.011,0.314,144,47
Mo Vaughn,0,1.003,0.326,143,44
Bobby Higginson,0,0.982,0.320,81,26
Manny Ramirez,0,0.981,0.309,112,33
Chuck Knoblauch,0,0.965,0.341,72,13
John Jaha,0,0.941,0.300,118,34
Roberto Alomar,0,0.938,0.328,94,22
Dave Nilsson,0,0.932,0.331,84,17
Rafael Palmeiro,0,0.928,0.289,142,39
Rusty Greer,0,0.927,0.332,100,18
Bernie Williams,0,0.926,0.305,102,29
Jay Buhner,0,0.926,0.271,138,44
Harold Baines,0,0.902,0.311,95,22
Jeff Cirillo,0,0.894,0.325,83,15
Robin Ventura,0,0.888,0.287,105,34
Tim Salmon,0,0.887,0.286,98,30
Paul O'Neill,0,0.885,0.302,91,19
Edgar Martinez,0,1.107,0.356,113,29
Albert Belle,0,1.091,0.317,126,50
Frank Thomas,0,1.061,0.308,111,40
Tim Salmon,0,1.024,0.330,105,34
Jim Thome,0,0.996,0.314,73,25
Mo Vaughn,1,0.963,0.300,126,39
Rafael Palmeiro,0,0.963,0.310,104,39
Manny Ramirez,0,0.960,0.308,107,31
Harold Baines,0,0.943,0.299,63,24
Chili Davis,0,0.943,0.318,86,20
Jose Canseco,0,0.933,0.306,81,24
John Valentin,0,0.931,0.298,102,27
Tino Martinez,0,0.920,0.293,111,31
Paul O'Neill,0,0.913,0.300,96,22
Chuck Knoblauch,0,0.912,0.333,63,11
Jay Buhner,0,0.909,0.262,121,40
Mickey Tettleton,0,0.906,0.238,78,32
Kirby Puckett,0,0.894,0.314,99,23
Eddie Murray,0,0.891,0.323,82,21
